                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.76543,                0.47973,                 1.0525,                0.75858,                0.49776,                0.55448,                0.40451,                0.91783,                0.72112,                 1.1778,             0.00030641,             0.00030641,             0.00030641
                     72,                0.74818,                0.47122,                 1.0577,                0.74114,                0.49988,                0.55631,                 0.4081,                0.92739,                0.73532,                 1.1725,             0.00030327,             0.00030327,             0.00030327
                     73,                0.76297,                0.47668,                 1.0491,                0.73473,                0.50736,                0.55622,                0.41156,                0.91191,                0.72268,                 1.1653,             0.00030014,             0.00030014,             0.00030014
                     74,                0.75133,                0.47336,                 1.0553,                0.74791,                0.50144,                0.55363,                 0.4096,                0.91715,                0.73786,                 1.1582,               0.000297,               0.000297,               0.000297
                     75,                0.74018,                 0.4657,                 1.0482,                0.76943,                0.49798,                 0.5574,                0.41017,                0.91575,                0.72423,                 1.1647,             0.00029386,             0.00029386,             0.00029386
                     76,                0.74951,                0.47105,                 1.0552,                0.73452,                0.50321,                0.55547,                0.41026,                0.91402,                0.73378,                 1.1617,             0.00029073,             0.00029073,             0.00029073
                     77,                0.74595,                 0.4715,                 1.0616,                0.74823,                0.49835,                0.54917,                 0.4034,                0.92407,                0.73476,                 1.1564,             0.00028902,             0.00028902,             0.00028902
                     78,                0.75429,                0.47305,                 1.0468,                0.74579,                0.50006,                0.55217,                0.40495,                0.93073,                0.74011,                 1.1694,              0.0002859,              0.0002859,              0.0002859
                     79,                0.72061,                0.46123,                   1.06,                0.74351,                0.50238,                0.55933,                 0.4123,                 0.9225,                 0.7397,                 1.1643,             0.00028278,             0.00028278,             0.00028278
                     80,                0.75032,                0.47199,                 1.0435,                0.73134,                 0.4993,                0.55288,                0.40579,                0.92711,                0.74537,                 1.1628,             0.00027966,             0.00027966,             0.00027966
                     81,                0.73335,                0.46179,                 1.0449,                0.74671,                 0.5033,                0.55333,                 0.4064,                0.92139,                0.72633,                 1.1712,             0.00027654,             0.00027654,             0.00027654
                     82,                0.74475,                0.46396,                  1.037,                0.73943,                0.51125,                0.55797,                0.41129,                0.91886,                0.73239,                 1.1591,             0.00027343,             0.00027343,             0.00027343
                     83,                0.73607,                 0.4616,                 1.0412,                0.78213,                0.49205,                0.55689,                  0.409,                0.91846,                0.72751,                 1.1689,             0.00027031,             0.00027031,             0.00027031
                     84,                 0.7239,                0.45747,                  1.055,                0.77982,                0.49546,                0.56221,                0.41236,                0.92143,                0.72943,                 1.1545,             0.00026719,             0.00026719,             0.00026719
                     85,                0.73405,                0.46192,                 1.0497,                 0.7601,                0.50707,                0.55958,                0.41033,                0.92189,                 0.7223,                 1.1665,             0.00026407,             0.00026407,             0.00026407
                     86,                0.73895,                0.46096,                 1.0407,                0.74994,                0.49989,                0.55415,                0.40394,                0.93177,                0.74004,                   1.16,             0.00026095,             0.00026095,             0.00026095
                     87,                0.74278,                0.46282,                 1.0426,                0.77723,                0.49432,                0.55634,                0.40994,                0.91498,                 0.7276,                 1.1674,             0.00025783,             0.00025783,             0.00025783
                     88,                0.72954,                0.45859,                 1.0495,                0.74615,                0.50213,                0.55511,                 0.4084,                0.91874,                0.72507,                 1.1624,             0.00025472,             0.00025472,             0.00025472
                     89,                0.72095,                0.45507,                 1.0328,                0.74009,                0.50068,                0.55641,                0.40908,                0.92182,                0.74684,                 1.1578,              0.0002516,              0.0002516,              0.0002516
                     90,                0.73817,                0.46578,                 1.0435,                0.73767,                0.50436,                0.55675,                0.41105,                0.91382,                 0.7313,                 1.1581,             0.00024848,             0.00024848,             0.00024848
                     91,                0.72494,                0.45837,                 1.0533,                0.76277,                0.49061,                0.55746,                0.40982,                0.91469,                0.74532,                 1.1599,             0.00024536,             0.00024536,             0.00024536
                     92,                0.72179,                0.45013,                 1.0453,                 0.7417,                0.50901,                 0.5562,                0.40983,                0.91949,                0.73985,                 1.1647,             0.00024224,             0.00024224,             0.00024224
                     93,                0.72703,                 0.4521,                 1.0528,                0.75873,                0.50193,                0.56057,                0.41414,                0.91402,                0.73416,                 1.1594,             0.00023913,             0.00023913,             0.00023913
                     94,                0.69652,                0.44143,                 1.0422,                0.76346,                0.49584,                0.56282,                0.41338,                0.92004,                0.73461,                 1.1702,             0.00023601,             0.00023601,             0.00023601
                     95,                 0.7226,                0.45249,                 1.0361,                 0.7779,                0.48852,                0.55441,                0.40686,                0.92947,                0.74174,                 1.1655,             0.00023289,             0.00023289,             0.00023289
                     96,                0.72014,                0.45186,                 1.0402,                0.76792,                0.49141,                0.55621,                  0.409,                0.92207,                0.73399,                  1.161,             0.00022977,             0.00022977,             0.00022977
                     97,                0.72167,                 0.4501,                 1.0359,                0.73339,                0.49822,                0.55437,                0.40811,                0.92547,                0.74581,                 1.1759,             0.00022665,             0.00022665,             0.00022665
                     98,                0.71894,                0.44931,                 1.0422,                0.77029,                0.48919,                0.55757,                0.41055,                  0.923,                 0.7499,                 1.1708,             0.00022353,             0.00022353,             0.00022353
                     99,                0.72019,                0.45069,                 1.0358,                0.77144,                0.49442,                0.55881,                0.41213,                0.91442,                0.73124,                  1.168,             0.00022042,             0.00022042,             0.00022042
                    100,                0.71654,                0.44722,                  1.045,                  0.754,                0.49872,                0.55889,                 0.4117,                0.91744,                 0.7442,                 1.1616,              0.0002173,              0.0002173,              0.0002173
                    101,                0.70359,                0.44501,                  1.054,                0.74531,                0.50008,                0.55618,                0.41037,                0.91698,                0.74611,                 1.1653,             0.00021418,             0.00021418,             0.00021418
                    102,                 0.7021,                0.44574,                 1.0382,                0.74172,                0.51147,                0.55839,                0.41096,                 0.9187,                0.74541,                 1.1626,             0.00021106,             0.00021106,             0.00021106
                    103,                0.70205,                0.43916,                 1.0358,                0.75218,                0.49853,                0.55578,                0.40958,                0.92006,                0.75025,                 1.1553,             0.00020794,             0.00020794,             0.00020794
                    104,                0.69468,                0.43733,                 1.0307,                0.77799,                0.48625,                0.55483,                0.40991,                0.91858,                0.73605,                 1.1726,             0.00020483,             0.00020483,             0.00020483
                    105,                 0.7098,                0.44265,                 1.0506,                0.76212,                0.49201,                0.55288,                0.40782,                0.91552,                0.73697,                 1.1548,             0.00020171,             0.00020171,             0.00020171
                    106,                0.70718,                0.44396,                 1.0349,                0.76739,                0.49235,                0.55694,                0.40927,                0.91614,                0.74195,                 1.1548,             0.00019859,             0.00019859,             0.00019859
                    107,                0.69728,                 0.4378,                  1.034,                0.74939,                0.50245,                 0.5563,                0.41195,                0.91304,                0.73065,                 1.1851,             0.00019547,             0.00019547,             0.00019547
                    108,                0.71249,                0.44328,                 1.0441,                 0.7432,                0.51081,                0.56442,                0.41719,                0.91483,                0.73528,                 1.1623,             0.00019235,             0.00019235,             0.00019235
                    109,                0.70198,                0.43958,                 1.0358,                0.76339,                0.49334,                0.55687,                0.41075,                0.91954,                0.73345,                 1.1579,             0.00018923,             0.00018923,             0.00018923
                    110,                0.68817,                0.43122,                 1.0337,                0.74804,                0.50315,                 0.5598,                0.41299,                0.91117,                0.72487,                 1.1829,             0.00018612,             0.00018612,             0.00018612
                    111,                0.69578,                0.43797,                  1.034,                0.75286,                0.50408,                0.55875,                0.41168,                0.91196,                0.73106,                 1.1703,               0.000183,               0.000183,               0.000183
                    112,                0.69095,                0.43432,                 1.0325,                 0.7575,                0.49946,                0.55867,                0.41322,                0.90834,                0.72709,                 1.1682,             0.00017988,             0.00017988,             0.00017988
                    113,                0.70072,                0.43603,                 1.0523,                0.75121,                0.50307,                0.56142,                0.41327,                 0.9148,                0.72018,                 1.1655,             0.00017676,             0.00017676,             0.00017676
                    114,                0.69328,                0.43343,                 1.0378,                 0.7449,                0.51283,                0.56636,                0.41622,                0.91117,                0.72198,                 1.1589,             0.00017364,             0.00017364,             0.00017364
                    115,                0.71607,                0.44731,                 1.0353,                0.74964,                0.50838,                0.56735,                0.41767,                0.91078,                0.73175,                 1.1642,             0.00017052,             0.00017052,             0.00017052
                    116,                0.69662,                0.43461,                 1.0334,                0.75396,                0.50797,                0.56424,                0.41455,                0.91187,                0.72771,                 1.1667,             0.00016741,             0.00016741,             0.00016741
                    117,                  0.712,                0.44235,                 1.0376,                0.74397,                0.50411,                 0.5597,                0.41173,                0.91973,                0.74117,                  1.167,             0.00016429,             0.00016429,             0.00016429
                    118,                0.69104,                0.43316,                 1.0453,                0.74695,                0.50971,                0.56108,                0.41336,                0.91614,                0.73342,                 1.1795,             0.00016117,             0.00016117,             0.00016117
                    119,                0.69657,                0.43373,                 1.0387,                0.74006,                0.50612,                0.56105,                0.41615,                0.90987,                0.74162,                  1.164,             0.00015805,             0.00015805,             0.00015805
                    120,                0.69338,                0.43356,                 1.0403,                0.76179,                  0.498,                0.55834,                 0.4103,                0.91817,                0.73841,                 1.1651,             0.00015493,             0.00015493,             0.00015493
                    121,                0.68944,                0.43138,                 1.0378,                0.74098,                0.51022,                0.56274,                0.41588,                 0.9104,                0.73619,                 1.1692,             0.00015182,             0.00015182,             0.00015182
                    122,                 0.6933,                0.43398,                 1.0419,                0.74111,                 0.5075,                0.56012,                0.41347,                0.91816,                0.73092,                  1.166,              0.0001487,              0.0001487,              0.0001487
                    123,                0.68323,                0.42556,                 1.0362,                0.73841,                0.50254,                0.55788,                0.41392,                0.91142,                0.73378,                 1.1675,             0.00014558,             0.00014558,             0.00014558
                    124,                0.67512,                0.42487,                 1.0422,                0.75914,                0.49617,                0.55831,                0.41254,                0.91578,                0.73801,                 1.1673,             0.00014246,             0.00014246,             0.00014246
                    125,                0.68869,                0.42898,                 1.0213,                0.76655,                0.49834,                0.56319,                0.41726,                0.91238,                 0.7358,                 1.1582,             0.00013934,             0.00013934,             0.00013934
                    126,                0.66526,                0.41756,                 1.0375,                0.76396,                0.50114,                0.56288,                0.41536,                0.91063,                0.73674,                 1.1745,             0.00013622,             0.00013622,             0.00013622
                    127,                0.69249,                0.43003,                 1.0333,                 0.7663,                0.49787,                0.56223,                0.41659,                0.90753,                 0.7335,                 1.1771,             0.00013311,             0.00013311,             0.00013311
                    128,                0.67611,                0.42471,                 1.0413,                0.75198,                0.50379,                0.56258,                0.41628,                0.90523,                0.73436,                 1.1566,             0.00012999,             0.00012999,             0.00012999
                    129,                0.67421,                0.42298,                 1.0341,                0.75803,                0.49764,                0.55959,                0.41377,                0.90976,                 0.7388,                 1.1625,             0.00012687,             0.00012687,             0.00012687
                    130,                0.67321,                0.42567,                 1.0163,                 0.7723,                0.49442,                0.56134,                0.41513,                0.91635,                0.74202,                 1.1627,             0.00012375,             0.00012375,             0.00012375
                    131,                0.67276,                0.42205,                 1.0258,                 0.7707,                0.49124,                0.56007,                0.41452,                0.90834,                  0.739,                 1.1607,             0.00012063,             0.00012063,             0.00012063
                    132,                0.67422,                0.42438,                 1.0356,                0.74614,                0.50377,                 0.5597,                0.41384,                0.91472,                0.74484,                 1.1581,             0.00011752,             0.00011752,             0.00011752
                    133,                0.67552,                0.42032,                 1.0243,                0.75155,                 0.4979,                0.55784,                0.41153,                0.90876,                0.74578,                 1.1632,              0.0001144,              0.0001144,              0.0001144
                    134,                  0.671,                 0.4219,                 1.0342,                0.75036,                0.50143,                0.55989,                0.41207,                0.91299,                 0.7398,                 1.1555,             0.00011128,             0.00011128,             0.00011128
                    135,                0.66741,                0.41514,                 1.0437,                0.74975,                 0.5008,                0.56102,                 0.4137,                0.90999,                0.74204,                  1.156,             0.00010816,             0.00010816,             0.00010816
                    136,                0.66819,                0.41934,                 1.0207,                0.75454,                0.50498,                0.56249,                0.41515,                0.91229,                0.75118,                 1.1656,             0.00010504,             0.00010504,             0.00010504
                    137,                0.66089,                0.41588,                 1.0186,                0.75133,                0.50151,                0.56157,                 0.4151,                0.90789,                0.74442,                 1.1578,             0.00010192,             0.00010192,             0.00010192
                    138,                0.66476,                0.41933,                 1.0321,                0.74889,                0.49969,                0.55868,                0.41274,                0.91516,                0.75223,                 1.1637,             9.8806e-05,             9.8806e-05,             9.8806e-05
                    139,                0.65642,                0.41056,                 1.0288,                0.75102,                0.49499,                0.56025,                0.41618,                0.91059,                0.74534,                  1.163,             9.5688e-05,             9.5688e-05,             9.5688e-05
                    140,                0.64807,                0.41182,                 1.0256,                0.74468,                0.50593,                0.56569,                0.42015,                0.90871,                0.74514,                  1.154,              9.257e-05,              9.257e-05,              9.257e-05
                    141,                0.64127,                0.40828,                 1.0319,                0.75051,                0.50184,                0.56386,                0.41764,                0.91012,                0.73944,                 1.1582,             8.9451e-05,             8.9451e-05,             8.9451e-05
                    142,                0.65896,                0.41141,                 1.0283,                0.75815,                0.50126,                0.56249,                0.41626,                0.91069,                0.75042,                 1.1674,             8.6333e-05,             8.6333e-05,             8.6333e-05
                    143,                0.66775,                0.41778,                 1.0271,                0.74848,                0.50018,                0.56111,                0.41438,                0.91281,                0.74152,                 1.1676,             8.3215e-05,             8.3215e-05,             8.3215e-05
                    144,                 0.6569,                0.41043,                 1.0241,                0.75597,                0.49705,                0.56482,                0.41702,                0.90948,                0.74083,                 1.1635,             8.0097e-05,             8.0097e-05,             8.0097e-05
                    145,                0.65841,                0.41534,                  1.023,                0.74078,                0.50108,                0.56235,                0.41662,                0.91277,                 0.7456,                 1.1582,             7.6979e-05,             7.6979e-05,             7.6979e-05
                    146,                0.65619,                 0.4094,                  1.022,                0.77806,                0.49314,                0.56455,                0.41643,                0.91239,                0.74377,                 1.1623,              7.386e-05,              7.386e-05,              7.386e-05
