                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.2615,                0.86339,                 1.3015,                0.60805,                0.38007,                0.40829,                 0.2656,                 1.3059,                0.99427,                 1.3571,             0.00030425,             0.00030425,             0.00030425
                     91,                 1.2656,                0.87404,                 1.3074,                0.64444,                0.37091,                0.41015,                0.26692,                 1.2894,                 1.0164,                 1.3946,             0.00030283,             0.00030283,             0.00030283
                     92,                 1.2786,                 0.8667,                 1.3004,                0.67504,                0.36438,                0.41201,                0.26762,                 1.3031,                 1.0253,                 1.3727,             0.00029927,             0.00029927,             0.00029927
                     93,                 1.2765,                0.87438,                 1.2914,                0.59243,                0.37893,                 0.4074,                0.26805,                 1.2882,                 1.0026,                 1.3651,             0.00029677,             0.00029677,             0.00029677
                     94,                 1.2425,                0.85867,                 1.2967,                 0.6355,                0.37627,                0.40936,                0.27028,                 1.2698,                0.98463,                 1.3754,             0.00029428,             0.00029428,             0.00029428
                     95,                 1.2529,                0.85917,                 1.3004,                0.65637,                0.36465,                0.40187,                 0.2646,                 1.2775,                0.99501,                 1.3593,             0.00029179,             0.00029179,             0.00029179
                     96,                 1.2458,                0.85273,                 1.3108,                0.61281,                0.38636,                0.41373,                0.27083,                 1.2918,                0.97784,                 1.3475,              0.0002893,              0.0002893,              0.0002893
                     97,                 1.2574,                0.88782,                 1.2826,                0.65948,                 0.3851,                0.41487,                0.27153,                 1.3094,                 1.0008,                 1.3642,             0.00028681,             0.00028681,             0.00028681
                     98,                 1.2414,                0.84957,                 1.2942,                0.62491,                0.39787,                0.41657,                0.27381,                 1.2731,                0.96979,                 1.3422,             0.00028432,             0.00028432,             0.00028432
                     99,                 1.2384,                 0.8311,                 1.2918,                0.69711,                0.37769,                0.42254,                0.27817,                  1.274,                0.97553,                 1.3471,             0.00028183,             0.00028183,             0.00028183
                    100,                  1.235,                0.85093,                 1.2956,                0.68607,                0.37005,                0.41712,                0.27277,                 1.2732,                0.99683,                 1.3514,             0.00027933,             0.00027933,             0.00027933
                    101,                 1.2483,                 0.8506,                 1.3047,                0.65541,                0.37807,                0.41076,                0.26864,                 1.2965,                0.98117,                 1.3499,             0.00027684,             0.00027684,             0.00027684
                    102,                 1.2543,                 0.8584,                 1.2763,                0.67912,                0.36859,                0.41383,                0.27211,                 1.2777,                0.97864,                 1.3433,             0.00027435,             0.00027435,             0.00027435
                    103,                 1.2142,                0.82247,                 1.2814,                0.63257,                 0.3947,                0.42094,                0.27599,                 1.2634,                0.97632,                 1.3333,             0.00027186,             0.00027186,             0.00027186
                    104,                 1.2373,                0.84091,                 1.2591,                0.66881,                0.36813,                0.41335,                0.27004,                 1.2872,                 0.9914,                 1.3418,             0.00026937,             0.00026937,             0.00026937
                    105,                 1.2374,                0.84287,                 1.2709,                 0.6704,                0.37921,                 0.4133,                0.27141,                 1.2589,                0.97441,                 1.3474,             0.00026688,             0.00026688,             0.00026688
                    106,                 1.2249,                0.82933,                 1.2572,                0.67742,                0.38712,                0.42061,                0.27861,                 1.2563,                0.96481,                 1.3577,             0.00026438,             0.00026438,             0.00026438
